source,actions
"['a', 'm', 'e', 'r', 'i', 'k', 'á', 'n', 'o', 'v', 'i']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'n @@', 'COPY', 'COPY', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'k', 'á', 'n', 's', 'k', 'á']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'n @@', 'COPY', 'k @@', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'k', 'á', 'n', 's', 't', 'v', 'í']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'n @@', 'COPY', 'COPY', 'v @@', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'č', 'a', 'n', 'k', 'o', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'č @@', 'COPY', 'n @@', 'k @@', 'COPY', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'č', 'a', 'n', 'é']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'č @@', 'COPY', 'n @@', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'č', 'a', 'n', 'ů']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'č @@', 'COPY', 'n @@', 'COPY']"
"['a', 'm', 'e', 'r', 'i', 'č', 't', 'í']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'č @@', 't @@', 'COPY']"
"['a', 'm', 'i', 'n', 'a']","['COPY', 'COPY', 'COPY', 'n @@', 'COPY']"
"['a', 'm', 'i', 'n', 'k', 'o']","['COPY', 'COPY', 'COPY', 'n @@', 'k @@', 'COPY']"
"['a', 'm', 'i', 'n', 'o']","['COPY', 'COPY', 'COPY', 'n @@', 'COPY']"
"['a', 'm', 'i', 'n', 'u']","['COPY', 'COPY', 'COPY', 'n @@', 'COPY']"
"['a', 'm', 'i', 'n', 'ě']","['COPY', 'COPY', 'COPY', 'n @@', 'COPY']"
"['a', 'm', 'i', 'p', 'r', 'o']","['COPY', 'COPY', 'i @@', 'COPY', 'COPY', 'COPY']"
"['a', 'm', 'n', 'e', 's', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'm', 'o', 'r', 't', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'm', 'p', 'u', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'm', 's', 't', 'e', 'r', 'o', 'd', 'a', 'm']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'm', 's', 't', 'e', 'r', 'o', 'd', 'a', 'm', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'm @@', 'COPY']"
"['a', 'm', 's', 't', 'e', 'r', 'o', 'd', 'a', 'm', 'ě']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'm @@', 'COPY']"
"['a', 'n', 'a', 'c', 'h', 'a', 'r', 's', 'i', 's', 'ů', 'v']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 's @@', 'COPY', 'COPY']"
"['a', 'n', 'a', 'l', 'o', 'g', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'a @@', 'COPY', 'COPY', 'g @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'n', 'a', 'l', 'y', 't', 'i', 'c', 'a']","['COPY', 'COPY', 'a @@', 'COPY', 'COPY', 't @@', 'COPY', 'c @@', 'COPY']"
"['a', 'n', 'a', 'l', 'y', 't', 'i', 'k', 'u']","['COPY', 'COPY', 'a @@', 'COPY', 'COPY', 't @@', 'COPY', 'k @@', 'COPY']"
"['a', 'n', 'a', 'l', 'y', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'a @@', 'COPY', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'n', 'a', 'l', 'ý', 'z', 'a']","['COPY', 'COPY', 'a @@', 'COPY', 'COPY', 'z @@', 'COPY']"
"['a', 'n', 'a', 'l', 'ý', 'z', 'y']","['COPY', 'COPY', 'a @@', 'COPY', 'COPY', 'z @@', 'COPY']"
"['a', 'n', 'a', 'r', 'c', 'h', 'i', 'i']","['COPY', 'n @@', 'COPY', 'COPY', 'COPY', 'h @@', 'i @@', 'COPY']"
"['a', 'n', 'a', 't', 'o', 'l']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'n', 'a', 't', 'o', 'l', 'á', 'k']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY']"
"['a', 'n', 'c', 'i', 'l', 'l', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'n', 'd', 'r', 'e', 'j', 'e', 'v', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'v @@', 'COPY']"
"['a', 'n', 'd', 'r', 'o', 'i', 'd']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'n', 'd', 'ě', 'l']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'n', 'd', 'ě', 'l', 'y']","['COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY']"
"['a', 'n', 'd', 'ě', 'l', 'é']","['COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY']"
"['a', 'n', 'd', 'ě', 'l', 'í', 'm']","['COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY']"
"['a', 'n', 'e', 'b']","['a @@', 'COPY', 'COPY', 'COPY']"
"['a', 'n', 'e', 'b', 'o']","['a @@', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'n', 'g', 'a', 'ž', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'ž @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'n', 'g', 'l', 'i', 'c', 'k', 'u']","['COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 'n', 'g', 'l', 'i', 'c', 'k', 'y']","['COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'k @@', 'COPY']"
"['a', 'n', 'g', 'l', 'i', 'c', 'k', 'é']","['COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 'n', 'g', 'l', 'i', 'c', 'k', 'é', 'h', 'o']","['COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'c @@', 'k @@', 'COPY', 'COPY', 'COPY']"
"['a', 'n', 'g', 'l', 'i', 'c', 'k', 'é', 'm']","['COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY']"
"['a', 'n', 'g', 'l', 'i', 'c', 'k', 'ý']","['COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'k @@', 'COPY']"
"['a', 'n', 'g', 'l', 'i', 'č', 'a', 'n']","['COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'č @@', 'COPY', 'COPY']"
"['a', 'n', 'g', 'l', 'i', 'č', 'a', 'n', 'i']","['COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'č @@', 'COPY', 'n @@', 'COPY']"
"['a', 'n', 'g', 'l', 'o', 'a', 'm', 'e', 'r', 'i', 'c', 'k', 'é']","['COPY', 'COPY', 'COPY', 'l @@', 'o @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 'n', 'g', 'l', 'o', 's', 'a', 's', 'k', 'o', 'u']","['COPY', 'COPY', 'COPY', 'l @@', 'o @@', 'COPY', 'COPY', 's @@', 'k @@', 'COPY', 'COPY']"
"['a', 'n', 'g', 'l', 'o', 's', 'a', 's', 'k', 'é']","['COPY', 'COPY', 'COPY', 'l @@', 'o @@', 'COPY', 'COPY', 's @@', 'k @@', 'COPY']"
"['a', 'n', 'i', 'l', 'í', 'n', 'e', 'm']","['COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'n @@', 'COPY', 'COPY']"
"['a', 'n', 'i', 'l', 'í', 'n', 'u']","['COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'n @@', 'COPY']"
"['a', 'n', 'i', 'm', 'a']","['COPY', 'COPY', 'COPY', 'm @@', 'COPY']"
"['a', 'n', 'i', 'm', 'i', 's', 't', 'i', 'c', 'k', 'ý']","['COPY', 'COPY', 'COPY', 'm @@', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'k @@', 'COPY']"
"['a', 'n', 'i', 'm', 'u', 'm']","['COPY', 'COPY', 'COPY', 'm @@', 'COPY', 'COPY']"
"['a', 'n', 'i', 'ž']","['COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'n', 'o']","['COPY', 'COPY', 'COPY']"
"['a', 'n', 'o', 'n', 'c', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'c @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'n', 'o', 'n', 'y', 'm', 'n', 'í']","['COPY', 'n @@', 'COPY', 'COPY', 'COPY', 'm @@', 'n @@', 'COPY']"
"['a', 'n', 'o', 't', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'n', 't', 'a', 'g', 'o', 'n', 'i', 'z', 'o', 'v', 'á', 'v', 'a', 'n', 'o', 's', 't']","['COPY', 'COPY', 'COPY', 'a @@', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'COPY', 'COPY', 'á @@', 'v @@', 'a @@', 'n @@', 'COPY', 'COPY', 'COPY']"
"['a', 'n', 't', 'e', 'd', 'a', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'e @@', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'n', 't', 'h', 'o', 'n', 'y']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'n', 't', 'h', 'o', 'z', 'o', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'o @@', 'COPY']"
"['a', 'n', 't', 'i', 'c', 'i', 'p', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'i @@', 'COPY', 'COPY', 'p @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'n', 't', 'i', 'd', 'a', 't', 'u', 'j', 'e', 'm', 'e']","['COPY', 'COPY', 'COPY', 'i @@', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'e @@', 'COPY', 'COPY']"
"['a', 'n', 't', 'i', 'h', 'r', 'd', 'i', 'n', 'k', 'a']","['COPY', 'COPY', 't @@', 'i @@', 'COPY', 'COPY', 'd @@', 'COPY', 'n @@', 'k @@', 'COPY']"
"['a', 'n', 't', 'i', 'k', 'v', 'i', 't', 'y']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'v @@', 'COPY', 't @@', 'COPY']"
"['a', 'n', 't', 'i', 'm', 'y', 'k', 'o', 't', 'i', 'c', 'k', 'y']","['COPY', 'COPY', 'COPY', 'i @@', 'COPY', 'COPY', 'k @@', 'COPY', 't @@', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 'n', 't', 'i', 'p', 'r', 'o', 'p', 'a', 'g', 'a', 'n', 'd', 'o', 'v', 'o', 's', 't']","['COPY', 'COPY', 'COPY', 'i @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'g @@', 'COPY', 'COPY', 'd @@', 'COPY', 'v @@', 'COPY', 'COPY', 'COPY']"
"['a', 'n', 't', 'i', 'v', 'i', 'r', 'o', 't', 'i', 'c', 'k', 'o', 's', 't']","['COPY', 'COPY', 'COPY', 'i @@', 'COPY', 'COPY', 'r @@', 'COPY', 't @@', 'COPY', 'c @@', 'k @@', 'COPY', 'COPY', 'COPY']"
"['a', 'n', 't', 'o', 'n', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY']"
"['a', 'n', 'u', 'l', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'n', 'ď', 'á', 'k', 'ů', 'v']","['COPY', 'COPY', 'ď @@', 'COPY', 'k @@', 'COPY', 'COPY']"
"['a', 'p', 'a', 'r', 'a', 't', 'u', 'r', 'y']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'r @@', 'COPY']"
"['a', 'p', 'e', 'l', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'p', 'e', 'r', 'c', 'i', 'p', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'p @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'p', 'l', 'a', 'n', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'p', 'l', 'a', 'u', 'd', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'd @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'p', 'l', 'i', 'k', 'a', 'c', 'i']","['COPY', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'c @@', 'COPY']"
"['a', 'p', 'l', 'i', 'k', 'o', 'v', 'á', 'n', 'a']","['a @@', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY', 'á @@', 'n @@', 'COPY']"
"['a', 'p', 'o', 'd']","['a @@', 'COPY', 'COPY', 'COPY']"
"['a', 'p', 'o', 'l', 'o', 'g', 'e', 't', 'i', 'k', 'y']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'k @@', 'COPY']"
"['a', 'p', 'o', 'r', 't', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'p', 'o', 's', 't', 'r', 'o', 'f', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'COPY', 'f @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'p', 'r', 'e', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'p', 'r', 'i', 'o', 'r', 'i', 's', 'm', 'e', 'm']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'm @@', 'COPY', 'COPY']"
"['a', 'p', 'r', 'i', 'o', 'r', 'n', 'í']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'n @@', 'COPY']"
"['a', 'p', 'r', 'i', 'o', 'r', 'n', 'í', 'c', 'h']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'n @@', 'COPY', 'COPY', 'COPY']"
"['a', 'p', 'r', 'o', 'b', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'COPY', 'b @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'p', 'r', 'o', 'v', 'i', 'z', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'COPY', 'v @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'p', 'r', 'o', 'v', 'i', 'z', 'o', 'v', 'á', 'v', 'a', 'n', 'ě']","['a @@', 'COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'z @@', 'COPY', 'COPY', 'á @@', 'v @@', 'a @@', 'n @@', 'COPY']"
"['a', 'q', 'u', 'a']","['COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'r', 'a']","['COPY', 'COPY', 'COPY']"
"['a', 'r', 'a', 'b']","['COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'r', 'a', 'b', 'a']","['COPY', 'COPY', 'COPY', 'b @@', 'COPY']"
"['a', 'r', 'a', 'b', 'o', 'v', 'i']","['COPY', 'COPY', 'COPY', 'b @@', 'COPY', 'COPY', 'COPY']"
"['a', 'r', 'a', 'b', 's', 'k', 'o', 'u']","['COPY', 'COPY', 'COPY', 'b @@', 'COPY', 'k @@', 'COPY', 'COPY']"
"['a', 'r', 'a', 'b', 's', 'k', 'ý']","['COPY', 'COPY', 'COPY', 'b @@', 'COPY', 'k @@', 'COPY']"
"['a', 'r', 'a', 'b', 's', 'k', 'ý', 'm', 'i']","['COPY', 'COPY', 'COPY', 'b @@', 'COPY', 'k @@', 'COPY', 'COPY', 'COPY']"
"['a', 'r', 'a', 'n', 'ž', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'ž @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'r', 'a', 'n', 'ž', 'é', 'r', 'ů', 'v']","['COPY', 'COPY', 'COPY', 'COPY', 'ž @@', 'COPY', 'r @@', 'COPY', 'COPY']"
"['a', 'r', 'c', 'h']","['COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'r', 'c', 'h', 'a', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'h @@', 'a @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'r', 'c', 'h', 'i', 't', 'e', 'k', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'i @@', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'r', 'c', 'i', 'b', 'i', 's', 'k', 'u', 'p']","['COPY', 'COPY', 'COPY', 'i @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'r', 'c', 'i', 'l', 'o', 't', 'r', 'a', 's']","['COPY', 'COPY', 'COPY', 'i @@', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY']"
"['a', 'r', 'e', 'n', 'e', 'l', 'l', 'e']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'r', 'e', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'r', 'g', 'u', 'm', 'e', 'n', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'r', 'i', 's', 't', 'o', 'k', 'r', 'a', 't', 'i', 's', 'm', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'm @@', 'COPY']"
"['a', 'r', 'i', 's', 't', 'o', 't', 'e', 'l', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY']"
"['a', 'r', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'r @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'r', 'm', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'm @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'r', 'm', 's', 't', 'r', 'o', 'n', 'g']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'r', 'm', 'é', 'n']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'r', 'm', 'é', 'n', 'i']","['COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY']"
"['a', 'r', 'm', 'é', 'n', 'i', 'e']","['COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'i @@', 'COPY']"
"['a', 'r', 'm', 'é', 'n', 'o', 'v', 'i']","['COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'COPY']"
"['a', 'r', 'm', 'é', 'n', 's', 'k', 'ý']","['COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'k @@', 'COPY']"
"['a', 'r', 'n', 'h', 'e', 'm']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'r', 'n', 'o', 'š', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'r', 'o', 'm', 'a', 't', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'm @@', 'COPY', 't @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'r', 't', 'i', 'k', 'u', 'l', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 's', 'a', 'n', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 's', 'f', 'a', 'l', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 's', 'f', 'a', 'l', 't', 'o', 'v', 'o', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'v @@', 'COPY', 'COPY']"
"['a', 's', 'f', 'a', 'l', 't', 'o', 'v', 'ý']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'v @@', 'COPY']"
"['a', 's', 'i']","['COPY', 'COPY', 'COPY']"
"['a', 's', 'i', 'm', 'i', 'l', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 's', 'i', 'm', 'i', 'l', 'o', 'v', 'a', 't', 'i']","['a @@', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'a @@', 'COPY', 'COPY']"
"['a', 's', 'i', 'm', 'i', 'l', 'o', 'v', 'á', 'n', 'y']","['a @@', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'á @@', 'n @@', 'COPY']"
"['a', 's', 'i', 's', 't', 'e', 'n', 't', 'k', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 't @@', 'k @@', 'COPY']"
"['a', 's', 'i', 's', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 's', 'o', 'c', 'i', 'a', 'c', 'e']","['a @@', 'COPY', 'COPY', 'COPY', 'i @@', 'COPY', 'c @@', 'COPY']"
"['a', 's', 'o', 'c', 'i', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'COPY', 'i @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 's', 'p', 'e', 'k', 't', 'u']","['a @@', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['a', 's', 'p', 'e', 'k', 't', 'y']","['a @@', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['a', 's', 'p', 'i', 'r', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 's', 'p', 'o', 'ň']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 's', 't', 'm', 'a', 't', 'i', 'c', 'k', 'y']","['COPY', 'COPY', 'COPY', 'm @@', 'COPY', 't @@', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 's', 't', 'r', 'o', 'n', 'o', 'm', 'i', 'c', 'k', 'é']","['COPY', 'COPY', 'COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'm @@', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 's', 't', 'r', 'o', 'p', 'h', 'y', 't', 'u', 'm']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 's', 'y', 'm', 'p', 't', 'o', 't', 'i', 'c', 'k', 'y']","['a @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'c @@', 'k @@', 'COPY']"
"['a', 't', 'a', 'k', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 't', 'a', 'm', 'a', 'n', 'e', 'm']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY']"
"['a', 't', 'a', 'r', 'a', 'x', 'i', 'e']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'x @@', 'i @@', 'COPY']"
"['a', 't', 'd']","['COPY', 'COPY', 'COPY']"
"['a', 't', 'e', 'n', 't', 'á', 't', 'y']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 't @@', 'COPY']"
"['a', 't', 'e', 's', 't', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 't', 'l', 'e', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 't', 'm', 'o', 's', 'f', 'é', 'r', 'o', 'u']","['COPY', 'COPY', 'm @@', 'o @@', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY']"
"['a', 't', 'o', 'm']","['COPY', 'COPY', 'COPY', 'COPY']"
"['a', 't', 'o', 'm', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'm @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 't', 'o', 'm', 'i', 'z', 'o', 'v', 'á', 'v', 'a', 't', 'e', 'l', 'n', 'o', 's', 't']","['COPY', 'COPY', 'COPY', 'm @@', 'COPY', 'COPY', 'COPY', 'COPY', 'á @@', 'v @@', 'a @@', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'COPY']"
"['a', 't', 'o', 'm', 'ů']","['COPY', 'COPY', 'COPY', 'm @@', 'COPY']"
"['a', 't', 'r', 'a', 'k', 't', 'i', 'v', 'n', 'í', 'm']","['a @@', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'v @@', 'n @@', 'COPY', 'COPY']"
"['a', 't', 'r', 'o', 'f', 'o', 'v', 'a', 't']","['a @@', 'COPY', 'COPY', 'COPY', 'f @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 't', 'v', 'á', 'n', 'ů', 'v']","['COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY']"
"['a', 'u']","['COPY', 'COPY']"
"['a', 'u', 'd', 'i', 'o', 'p', 'á', 's', 'k', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'o @@', 'COPY', 'COPY', 's @@', 'k @@', 'COPY']"
